indicator,category,plain_language_name,plain_language_definition,why_it_matters,better_direction,related_indicator_1,related_indicator_2,related_indicator_3,search_terms
Life Expectancy,Health outcomes / well-being,Life expectancy,The average number of years people in the county are expected to live.,This gives a broad picture of the health of a community and reflects many health and social factors.,Higher is better,Infant Mortality,Poor or Fair Health,Injury Deaths,"life expectancy, how long people live, lifespan, life span, living longer, living shorter, years people live, longevity, early death"
Infant Mortality,Health outcomes / well-being,Infant deaths,"The number of babies who die before age 1 for every 1,000 live births.","Infant deaths can reflect the health of babies and mothers, access to care, and living conditions.",Lower is better,Uninsured,Children in Poverty,Life Expectancy,"infant mortality, infant deaths, baby deaths, babies dying, newborn deaths, death before age 1, childbirth deaths, infant death rate"
Poor or Fair Health,Health outcomes / well-being,Adults reporting poor or fair health,The share of adults who say their overall health is fair or poor.,This shows how people feel about their own health and can capture problems that other health measures may miss.,Lower is better,Poor Physical Health Days,Poor Mental Health Days,Life Expectancy,"poor health, fair health, overall health, self reported health, people feel unhealthy, unhealthy adults, general health, health status"
Poor Physical Health Days,Health outcomes / well-being,Poor physical health days,The average number of days in the past month that adults say their physical health was not good.,"More unhealthy days can mean more illness, pain, or limits on daily life.",Lower is better,Poor or Fair Health,Adult Obesity,Diabetes Prevalence,"poor physical health days, physical health days, unhealthy physical days, days feeling sick, days not feeling well, physical illness, bad physical health"
Poor Mental Health Days,Health outcomes / well-being,Poor mental health days,The average number of days in the past month that adults say their mental health was not good.,"This shows how often people are dealing with stress, sadness, or other mental health problems.",Lower is better,Suicide Rate,Mental Health Providers,Poor or Fair Health,"poor mental health days, mental health, mental wellbeing, mental well being, depression, anxiety, stress, emotional health, bad mental health, days mentally unwell, mental distress"
Adult Obesity,Health outcomes / well-being,Adult obesity,"The share of adults with a body mass index, or BMI, of 30 or higher. BMI is based on height and weight.","Higher obesity rates are linked with more diabetes, heart disease, and other long-term health problems.",Lower is better,Physical Inactivity,Diabetes Prevalence,Access to Exercise Opportunities,"adult obesity, obesity, obese, overweight, weight, body weight, bmi, body mass index"
Diabetes Prevalence,Health outcomes / well-being,Adults with diabetes,The share of adults who have been told they have diabetes.,"Diabetes can lead to heart, kidney, eye, and other health problems and often needs care for many years.",Lower is better,Adult Obesity,Physical Inactivity,Poor Physical Health Days,"diabetes, diabetic, blood sugar, diabetes prevalence, adults with diabetes, type 2 diabetes, high blood sugar"
Adult Smoking,Health behaviors,Adult smoking,The share of adults who currently smoke cigarettes.,"Smoking raises the risk of cancer, heart disease, lung disease, and early death.",Lower is better,Life Expectancy,Poor Physical Health Days,Adult Obesity,"adult smoking, smoking, smokers, cigarettes, cigarette use, tobacco, tobacco use, people who smoke, smoking rate"
Physical Inactivity,Health behaviors,Physical inactivity,The share of adults who report no physical activity during their free time.,"Regular movement can lower the risk of heart disease, diabetes, obesity, and other health problems.",Lower is better,Access to Exercise Opportunities,Adult Obesity,Diabetes Prevalence,"physical inactivity, inactive, exercise, not exercising, lack of exercise, sedentary, physical activity, people not active, not enough exercise"
Excessive Drinking,Health behaviors,Excessive drinking,The share of adults who report binge drinking or heavy drinking.,"Heavy drinking raises the risk of injury, liver disease, some cancers, and other health problems.",Lower is better,Injury Deaths,Poor Mental Health Days,Life Expectancy,"excessive drinking, heavy drinking, binge drinking, alcohol, alcohol use, drinking too much, problem drinking"
