City,County,Indicator,Category,CHR&R release year,Underlying data year / period,Value,Unit,Better direction,Nashville rank out of 9,Peer city average (excluding Nashville),Nashville difference from peer average,Nashville percent difference from peer average,Nashville vs peer average,Best performing city,Best performing value,Worst performing city,Worst performing value
Austin,"Travis County, TX",Life Expectancy,Health outcomes / well-being,2010,,,years,Higher is better,,,,,,,,,
Raleigh,"Wake County, NC",Life Expectancy,Health outcomes / well-being,2010,,,years,Higher is better,,,,,,,,,
Durham,"Durham County, NC",Life Expectancy,Health outcomes / well-being,2010,,,years,Higher is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Life Expectancy,Health outcomes / well-being,2010,,,years,Higher is better,,,,,,,,,
Denver,"Denver County, CO",Life Expectancy,Health outcomes / well-being,2010,,,years,Higher is better,,,,,,,,,
Atlanta,"Fulton County, GA",Life Expectancy,Health outcomes / well-being,2010,,,years,Higher is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Life Expectancy,Health outcomes / well-being,2010,,,years,Higher is better,,,,,,,,,
Dallas,"Dallas County, TX",Life Expectancy,Health outcomes / well-being,2010,,,years,Higher is better,,,,,,,,,
Nashville,"Davidson County, TN",Life Expectancy,Health outcomes / well-being,2010,,,years,Higher is better,,,,,,,,,
Austin,"Travis County, TX",Infant Mortality,Health outcomes / well-being,2010,,,"deaths per 1,000 live births",Lower is better,,,,,,,,,
Raleigh,"Wake County, NC",Infant Mortality,Health outcomes / well-being,2010,,,"deaths per 1,000 live births",Lower is better,,,,,,,,,
Durham,"Durham County, NC",Infant Mortality,Health outcomes / well-being,2010,,,"deaths per 1,000 live births",Lower is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Infant Mortality,Health outcomes / well-being,2010,,,"deaths per 1,000 live births",Lower is better,,,,,,,,,
Denver,"Denver County, CO",Infant Mortality,Health outcomes / well-being,2010,,,"deaths per 1,000 live births",Lower is better,,,,,,,,,
Atlanta,"Fulton County, GA",Infant Mortality,Health outcomes / well-being,2010,,,"deaths per 1,000 live births",Lower is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Infant Mortality,Health outcomes / well-being,2010,,,"deaths per 1,000 live births",Lower is better,,,,,,,,,
Dallas,"Dallas County, TX",Infant Mortality,Health outcomes / well-being,2010,,,"deaths per 1,000 live births",Lower is better,,,,,,,,,
Nashville,"Davidson County, TN",Infant Mortality,Health outcomes / well-being,2010,,,"deaths per 1,000 live births",Lower is better,,,,,,,,,
Austin,"Travis County, TX",Poor or Fair Health,Health outcomes / well-being,2010,2002-2008,13.73,%,Lower is better,5,15.75,0.19,1.21,Worse,Raleigh,12.49,Dallas,20.89
Raleigh,"Wake County, NC",Poor or Fair Health,Health outcomes / well-being,2010,2002-2008,12.49,%,Lower is better,5,15.75,0.19,1.21,Worse,Raleigh,12.49,Dallas,20.89
Durham,"Durham County, NC",Poor or Fair Health,Health outcomes / well-being,2010,2002-2008,17.24,%,Lower is better,5,15.75,0.19,1.21,Worse,Raleigh,12.49,Dallas,20.89
Charlotte,"Mecklenburg County, NC",Poor or Fair Health,Health outcomes / well-being,2010,2002-2008,14.64,%,Lower is better,5,15.75,0.19,1.21,Worse,Raleigh,12.49,Dallas,20.89
Denver,"Denver County, CO",Poor or Fair Health,Health outcomes / well-being,2010,2002-2008,16.97,%,Lower is better,5,15.75,0.19,1.21,Worse,Raleigh,12.49,Dallas,20.89
Atlanta,"Fulton County, GA",Poor or Fair Health,Health outcomes / well-being,2010,2002-2008,13.04,%,Lower is better,5,15.75,0.19,1.21,Worse,Raleigh,12.49,Dallas,20.89
Fort Worth,"Tarrant County, TX",Poor or Fair Health,Health outcomes / well-being,2010,2002-2008,17,%,Lower is better,5,15.75,0.19,1.21,Worse,Raleigh,12.49,Dallas,20.89
